function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;flops;
1187;libc10.so;c10::DispatchKeySet::DispatchKeySet(c10::DispatchKey);;0.09;0.02;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1014DispatchKeySetC1ENS_11DispatchKeyE;;
995;libc10.so;c10::GetAllocator(c10::DeviceType const&);;0.09;0.02;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1012GetAllocatorERKNS_10DeviceTypeE;;
731;libc.so.6;__pthread_setspecific;;0.09;0.02;;;;;;;"0,0,0,0,0,100,0,0,0,0,0";__pthread_setspecific;;
231;libc10.so;__tls_get_addr@plt;;0.09;0.02;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";__tls_get_addr@plt;;
15;libc.so.6;__errno_location;;0.09;0.02;;;;;;;"0,0,0,0,0,100,0,0,0,0,0";__errno_location;;
272920;libtorch_cpu.so;at::native::(anonymous namespace)::softmax_backward_lastdim_kernel_impl(at::Tensor const&, at::Tensor const&, at::Tensor const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6native12_GLOBAL__N_1L36softmax_backward_lastdim_kernel_implERKNS_6TensorES4_S4_;;
272392;libtorch_cpu.so;void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::threshold_kernel(at::TensorIteratorBase&, c10::Scalar const&, c10::Scalar const&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, float)#1}, at::native::(anonymous namespace)::threshold_kernel(at::TensorIteratorBase&, c10::Scalar const&, c10::Scalar const&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(at::vec::AVX2::Vectorized<float>, at::vec)#2}> >(long, char**, long const*, long, long);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1012function_refIFvPPcPKlllEE11callback_fnIN2at6native4AVX216VectorizedLoop2dIZZZNS9_12_GLOBAL__N_1L16threshold_kernelERNS8_18TensorIteratorBaseERKNS_6ScalarESH_ENKUlvE0_clEvENKUlvE5_clEvEUlffE_ZZZNSC_L16threshold_kernelESE_SH_SH_ENKSI_clEvENKSJ_clEvEUlNS8_3vec4AVX210VectorizedIfEESO_E0_EEEEvlS2_S4_ll;;
271308;libtorch_cpu.so;at::native::AVX2::copy_kernel(at::TensorIterator&, bool);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6native4AVX211copy_kernelERNS_14TensorIteratorEb;;
270461;libtorch_cpu.so;void c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#4}::operator()() const::{lambda()#1}::operator()() const::{lambda(bool)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#4}::operator()() const::{lambda()#4}::operator()() const::{lambda(at::vec::AVX2::Vectorized<bool>)#2}> >(long, char**, long const*, long, long);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1012function_refIFvPPcPKlllEE11callback_fnIN2at6native4AVX216VectorizedLoop2dIZZZNSA_18direct_copy_kernelERNS8_18TensorIteratorBaseEENKUlvE2_clEvENKUlvE_clEvEUlbE_ZZZNSA_18direct_copy_kernelESD_ENKSE_clEvENKSF_clEvEUlNS8_3vec4AVX210VectorizedIbEEE0_EEEEvlS2_S4_ll;;
264818;libtorch_cpu.so;at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()() const [clone .isra.0];;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZZN2at6native12_GLOBAL__N_110add_kernelERNS_18TensorIteratorBaseERKN3c106ScalarEENKUlvE_clEv.isra.0;;
243259;libtorch_cpu.so;torch::jit::tracer::getTracingState();;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch3jit6tracer15getTracingStateEv;;
241834;libtorch_cpu.so;torch::autograd::impl::try_get_grad_accumulator(at::Tensor const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autograd4impl24try_get_grad_accumulatorERKN2at6TensorE;;
241239;libtorch_cpu.so;torch::autograd::gatherFunctions(torch::autograd::Node*, std::vector<std::shared_ptr<torch::autograd::Node>, std::allocator<std::shared_ptr<torch::autograd::Node> > >&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autogradL15gatherFunctionsEPNS0_4NodeERSt6vectorISt10shared_ptrIS1_ESaIS5_EE;;
240981;libtorch_cpu.so;torch::autograd::AutogradMeta::~AutogradMeta();;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autograd12AutogradMetaD1Ev;;
240969;libtorch_cpu.so;torch::autograd::AutogradMeta::fw_grad(unsigned long, at::TensorBase const&) const;;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNK5torch8autograd12AutogradMeta7fw_gradEmRKN2at10TensorBaseE;;
236307;libtorch_cpu.so;torch::ADInplaceOrView::(anonymous namespace)::view(c10::DispatchKeySet, at::Tensor const&, c10::ArrayRef<c10::SymInt>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch15ADInplaceOrView12_GLOBAL__N_14viewEN3c1014DispatchKeySetERKN2at6TensorENS2_8ArrayRefINS2_6SymIntEEE;;
235539;libtorch_cpu.so;torch::ADInplaceOrView::(anonymous namespace)::select_int(c10::DispatchKeySet, at::Tensor const&, long, c10::SymInt);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch15ADInplaceOrView12_GLOBAL__N_110select_intEN3c1014DispatchKeySetERKN2at6TensorElNS2_6SymIntE;;
208952;libtorch_cpu.so;torch::autograd::VariableType::(anonymous namespace)::add__Tensor(c10::DispatchKeySet, at::Tensor&, at::Tensor const&, c10::Scalar const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autograd12VariableType12_GLOBAL__N_111add__TensorEN3c1014DispatchKeySetERN2at6TensorERKS6_RKNS3_6ScalarE;;
203908;libtorch_cpu.so;c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (c10::DispatchKeySet, at::Tensor const&, std::optional<c10::MemoryFormat>), &torch::autograd::VariableType::(anonymous namespace)::clone>, at::Tensor, c10::guts::typelist::typelist<c10::DispatchKeySet, at::Tensor const&, std::optional<c10::MemoryFormat> > >, at::Tensor (c10::DispatchKeySet, at::Tensor const&, std::optional<c10::MemoryFormat>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&, std::optional<c10::MemoryFormat>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c104impl28wrap_kernel_functor_unboxed_INS0_6detail24WrapFunctionIntoFunctor_INS_26CompileTimeFunctionPointerIFN2at6TensorENS_14DispatchKeySetERKS6_St8optionalINS_12MemoryFormatEEEXadL_ZN5torch8autograd12VariableType12_GLOBAL__N_15cloneES7_S9_SC_EEEES6_NS_4guts8typelist8typelistIJS7_S9_SC_EEEEESD_E4callEPNS_14OperatorKernelES7_S9_SC_;;
201224;libtorch_cpu.so;torch::autograd::VariableType::(anonymous namespace)::_log_softmax(c10::DispatchKeySet, at::Tensor const&, long, bool);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autograd12VariableType12_GLOBAL__N_112_log_softmaxEN3c1014DispatchKeySetERKN2at6TensorElb;;
161941;libtorch_cpu.so;c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (at::Tensor const&, c10::ScalarType, bool, bool, std::optional<c10::MemoryFormat>), &at::(anonymous namespace)::(anonymous namespace)::wrapper_CompositeImplicitAutograd_dtype_to>, at::Tensor, c10::guts::typelist::typelist<at::Tensor const&, c10::ScalarType, bool, bool, std::optional<c10::MemoryFormat> > >, at::Tensor (at::Tensor const&, c10::ScalarType, bool, bool, std::optional<c10::MemoryFormat>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&, c10::ScalarType, bool, bool, std::optional<c10::MemoryFormat>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c104impl28wrap_kernel_functor_unboxed_INS0_6detail24WrapFunctionIntoFunctor_INS_26CompileTimeFunctionPointerIFN2at6TensorERKS6_NS_10ScalarTypeEbbSt8optionalINS_12MemoryFormatEEEXadL_ZNS5_12_GLOBAL__N_112_GLOBAL__N_142wrapper_CompositeImplicitAutograd_dtype_toES8_S9_bbSC_EEEES6_NS_4guts8typelist8typelistIJS8_S9_bbSC_EEEEESD_E4callEPNS_14OperatorKernelENS_14DispatchKeySetES8_S9_bbSC_;;
136826;libtorch_cpu.so;c10::impl::wrap_kernel_functor_unboxed_<c10::impl::detail::WrapFunctionIntoFunctor_<c10::CompileTimeFunctionPointer<at::Tensor (at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>), &at::(anonymous namespace)::_to_copy>, at::Tensor, c10::guts::typelist::typelist<at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat> > >, at::Tensor (at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>)>::call(c10::OperatorKernel*, c10::DispatchKeySet, at::Tensor const&, std::optional<c10::ScalarType>, std::optional<c10::Layout>, std::optional<c10::Device>, std::optional<bool>, bool, std::optional<c10::MemoryFormat>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c104impl28wrap_kernel_functor_unboxed_INS0_6detail24WrapFunctionIntoFunctor_INS_26CompileTimeFunctionPointerIFN2at6TensorERKS6_St8optionalINS_10ScalarTypeEES9_INS_6LayoutEES9_INS_6DeviceEES9_IbEbS9_INS_12MemoryFormatEEEXadL_ZNS5_12_GLOBAL__N_18_to_copyES8_SB_SD_SF_SG_bSI_EEEES6_NS_4guts8typelist8typelistIJS8_SB_SD_SF_SG_bSI_EEEEESJ_E4callEPNS_14OperatorKernelENS_14DispatchKeySetES8_SB_SD_SF_SG_bSI_;;
136000;libtorch_cpu.so;at::_ops::sub__Tensor::call(at::Tensor&, at::Tensor const&, c10::Scalar const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4_ops11sub__Tensor4callERNS_6TensorERKS2_RKN3c106ScalarE;;
133907;libtorch_cpu.so;at::_ops::select_int::call(at::Tensor const&, long, c10::SymInt);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4_ops10select_int4callERKNS_6TensorElN3c106SymIntE;;
133770;libtorch_cpu.so;at::_ops::permute::call(at::Tensor const&, c10::ArrayRef<long>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4_ops7permute4callERKNS_6TensorEN3c108ArrayRefIlEE;;
128316;libtorch_cpu.so;at::_ops::resolve_conj::call(at::Tensor const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4_ops12resolve_conj4callERKNS_6TensorE;;
125615;libtorch_cpu.so;at::_ops::_log_softmax::call(at::Tensor const&, long, bool);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4_ops12_log_softmax4callERKNS_6TensorElb;;
125067;libtorch_cpu.so;at::_ops::eq_Scalar::redispatch(c10::DispatchKeySet, at::Tensor const&, c10::Scalar const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4_ops9eq_Scalar10redispatchEN3c1014DispatchKeySetERKNS_6TensorERKNS2_6ScalarE;;
118902;libtorch_cpu.so;at::native::transpose(at::Tensor const&, long, long);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6native9transposeERKNS_6TensorEll;;
118841;libtorch_cpu.so;at::native::_permute_size_stride_estimation(at::Tensor const&, c10::ArrayRef<long>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6nativeL31_permute_size_stride_estimationERKNS_6TensorEN3c108ArrayRefIlEE;;
118425;libtorch_cpu.so;at::native::to(at::Tensor const&, c10::Device, c10::ScalarType, bool, bool, std::optional<c10::MemoryFormat>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6native2toERKNS_6TensorEN3c106DeviceENS4_10ScalarTypeEbbSt8optionalINS4_12MemoryFormatEE;;
117719;libtorch_cpu.so;at::meta::resize_reduction(at::impl::MetaBase&, at::Tensor const&, c10::OptionalArrayRef<long>, bool, c10::ScalarType, bool);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4meta16resize_reductionERNS_4impl8MetaBaseERKNS_6TensorEN3c1016OptionalArrayRefIlEEbNS7_10ScalarTypeEb;;
115911;libtorch_cpu.so;at::native::fill_out(at::Tensor&, c10::Scalar const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6native8fill_outERNS_6TensorERKN3c106ScalarE;;
115665;libtorch_cpu.so;at::native::DispatchStubImpl::try_choose_cpu_impl(void*, void*, void*);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6native16DispatchStubImpl19try_choose_cpu_implEPvS2_S2_;;
114891;libtorch_cpu.so;at::native::structured_div_out::impl(at::Tensor const&, at::Tensor const&, at::Tensor const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6native18structured_div_out4implERKNS_6TensorES4_S4_;;
114840;libtorch_cpu.so;at::meta::structured_sub_Tensor::meta(at::Tensor const&, at::Tensor const&, c10::Scalar const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4meta21structured_sub_Tensor4metaERKNS_6TensorES4_RKN3c106ScalarE;;
114683;libtorch_cpu.so;c10::TensorImpl::layout() const;;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNK3c1010TensorImpl6layoutEv;;
-1;kernel;asm_exc_page_fault;;0.07;0.01;;;;;;;"0,0,0,0,100,0,0,0,0,0,0";asm_exc_page_fault;;
112396;libtorch_cpu.so;at::(anonymous namespace)::LocalCallbackManager::rebuildActiveCallbacksIfNeeded() [clone .constprop.0];;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at12_GLOBAL__N_120LocalCallbackManager30rebuildActiveCallbacksIfNeededEv.constprop.0;;
111452;libtorch_cpu.so;c10::SymInt* std::__uninitialized_copy<false>::__uninit_copy<c10::SymInt const*, c10::SymInt*>(c10::SymInt const*, c10::SymInt const*, c10::SymInt*);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNSt20__uninitialized_copyILb0EE13__uninit_copyIPKN3c106SymIntEPS3_EET0_T_S8_S7_;;
-1;kernel;sync_regs;;0.07;0.01;;;;;;;"0,0,0,0,100,0,0,0,0,0,0";sync_regs;;
108893;libtorch_cpu.so;at::TensorIteratorBase::permute_dimensions(c10::ArrayRef<long>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at18TensorIteratorBase18permute_dimensionsEN3c108ArrayRefIlEE;;
108890;libtorch_cpu.so;at::TensorIteratorBase::for_each(c10::function_ref<void (char**, long const*, long, long)>, long);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at18TensorIteratorBase8for_eachEN3c1012function_refIFvPPcPKlllEEEl;;
108874;libtorch_cpu.so;at::TensorIteratorBase::compute_mem_overlaps(at::TensorIteratorConfig const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at18TensorIteratorBase20compute_mem_overlapsERKNS_20TensorIteratorConfigE;;
108853;libtorch_cpu.so;at::TensorIteratorBase::compute_common_dtype();;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at18TensorIteratorBase20compute_common_dtypeEv;;
108852;libtorch_cpu.so;at::TensorIteratorConfig::is_tensor_const(unsigned long);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at20TensorIteratorConfig15is_tensor_constEm;;
108719;libtorch_cpu.so;at::impl::torch_function_mode_enabled();;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at4impl27torch_function_mode_enabledEv;;
108265;libtorch_cpu.so;at::TensorBase::sizes() const;;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNK2at10TensorBase5sizesEv;;
107650;libtorch_cpu.so;c10::SmallVectorImpl<long>::operator=(c10::SmallVectorImpl<long>&&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1015SmallVectorImplIlEaSEOS1_;;
107626;libtorch_cpu.so;c10::TensorImpl::empty_tensor_restride(c10::MemoryFormat);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN3c1010TensorImpl21empty_tensor_restrideENS_12MemoryFormatE;;
107601;libtorch_cpu.so;at::detail::empty_cpu(c10::ArrayRef<long>, c10::ScalarType, bool, std::optional<c10::MemoryFormat>);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN2at6detail9empty_cpuEN3c108ArrayRefIlEENS1_10ScalarTypeEbSt8optionalINS1_12MemoryFormatEE;;
107483;libtorch_cpu.so;at::Context::deterministicAlgorithms() const;;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNK2at7Context23deterministicAlgorithmsEv;;
30266;libtorch_python.so;torch::check_has_torch_function(_object*, bool);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch24check_has_torch_functionEP7_objectb;;
30227;libtorch_python.so;torch::utils::tensor_to_numpy(at::Tensor const&, bool);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch5utils15tensor_to_numpyERKN2at6TensorEb;;
30226;libtorch_python.so;torch::utils::tensor_from_numpy(_object*, bool);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch5utils17tensor_from_numpyEP7_objectb;;
30162;libtorch_python.so;torch::utils::(anonymous namespace)::internal_new_from_data(c10::TensorOptions, c10::ScalarType, std::optional<c10::Device>, _object*, bool, bool, bool, bool);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch5utils12_GLOBAL__N_122internal_new_from_dataEN3c1013TensorOptionsENS2_10ScalarTypeESt8optionalINS2_6DeviceEEP7_objectbbbb;;
30080;libtorch_python.so;torch::get_symfloat_class();;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch18get_symfloat_classEv;;
29675;libtorch_python.so;torch::PythonArgs::tensor_slow(int);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch10PythonArgs11tensor_slowEi;;
29436;libtorch_python.so;torch::tensors::Tensor_instancecheck(_object*, _object*);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch7tensorsL20Tensor_instancecheckEP7_objectS2_;;
-1;kernel;_compound_head;;0.07;0.01;;;;;;;"0,0,0,0,100,0,0,0,0,0,0";_compound_head;;
24951;libtorch_python.so;torch::jit::getOpWithStack(std::vector<std::shared_ptr<torch::jit::Operator>, std::allocator<std::shared_ptr<torch::jit::Operator> > > const&, pybind11::args, pybind11::kwargs const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch3jit14getOpWithStackERKSt6vectorISt10shared_ptrINS0_8OperatorEESaIS4_EEN8pybind114argsERKNS9_6kwargsE;;
23885;libtorch_python.so;std::_Hashtable<std::string, std::pair<std::string const, c10::IValue>, std::allocator<std::pair<std::string const, c10::IValue> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::~_Hashtable();;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNSt10_HashtableISsSt4pairIKSsN3c106IValueEESaIS4_ENSt8__detail10_Select1stESt8equal_toISsESt4hashISsENS6_18_Mod_range_hashingENS6_20_Default_ranged_hashENS6_20_Prime_rehash_policyENS6_17_Hashtable_traitsILb1ELb0ELb1EEEED1Ev;;
20201;libtorch_python.so;pybind11::cpp_function::initialize<void (*&)(std::string const&), void, std::string const&, pybind11::name, pybind11::scope, pybind11::sibling>(void (*&)(std::string const&), void (*)(std::string const&), pybind11::name const&, pybind11::scope const&, pybind11::sibling const&)::{lambda(pybind11::detail::function_call&)#3}::_FUN(pybind11::detail::function_call&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZZN8pybind1112cpp_function10initializeIRPFvRKSsEvJS3_EJNS_4nameENS_5scopeENS_7siblingEEEEvOT_PFT0_DpT1_EDpRKT2_ENUlRNS_6detail13function_callEE1_4_FUNESN_;;
20167;libtorch_python.so;LogAPIUsageOnceFromPython(std::string const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZL25LogAPIUsageOnceFromPythonRKSs;;
19767;libtorch_python.so;std::_Hashtable<void const*, std::pair<void const* const, pybind11::detail::instance*>, std::allocator<std::pair<void const* const, pybind11::detail::instance*> >, std::__detail::_Select1st, std::equal_to<void const*>, std::hash<void const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, false> >::_M_insert_multi_node(std::__detail::_Hash_node<std::pair<void const* const, pybind11::detail::instance*>, false>*, unsigned long, std::__detail::_Hash_node<std::pair<void const* const, pybind11::detail::instance*>, false>*);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZNSt10_HashtableIPKvSt4pairIKS1_PN8pybind116detail8instanceEESaIS8_ENSt8__detail10_Select1stESt8equal_toIS1_ESt4hashIS1_ENSA_18_Mod_range_hashingENSA_20_Default_ranged_hashENSA_20_Prime_rehash_policyENSA_17_Hashtable_traitsILb0ELb0ELb0EEEE20_M_insert_multi_nodeEPNSA_10_Hash_nodeIS8_Lb0EEEmSO_;;
18291;libtorch_python.so;torch::PythonArgs::intlistWithDefault(int, std::vector<long, std::allocator<long> >);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch10PythonArgs18intlistWithDefaultEiSt6vectorIlSaIlEE;;
18276;libtorch_python.so;torch::autograd::utils::wrap(at::Tensor);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autograd5utils4wrapEN2at6TensorE;;
18179;libtorch_python.so;torch::autograd::THPVariable_view(_object*, _object*, _object*);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autogradL16THPVariable_viewEP7_objectS2_S2_;;
17739;libtorch_python.so;long torch::autograd::dispatch_to<long>(at::Tensor const&);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autogradL11dispatch_toIlEET_RKN2at6TensorE;;
17722;libtorch_python.so;_object* torch::autograd::TypeError_to_NotImplemented_<&torch::autograd::THPVariable___eq__>(_object*, _object*, _object*);;0.07;0.01;;;;;;;"0,0,0,0,0,0,0,0,0,100,0";_ZN5torch8autogradL28TypeError_to_NotImplemented_IXadL_ZNS0_L18THPVariable___eq__EP7_objectS3_S3_EEEES3_S3_S3_S3_;;
-1;kernel;timekeeping_update;;0.07;0.01;;;;;;;"0,0,0,33.333333333333,66.666666666667,0,0,0,0,0,0";timekeeping_update;;
-1;kernel;__rcu_read_unlock;;0.07;0.01;;;;;;;"0,0,0,0,100,0,0,0,0,0,0";__rcu_read_unlock;;
-1;kernel;psi_account_irqtime;;0.07;0.01;;;;;;;"0,0,0,33.333333333333,66.666666666667,0,0,0,0,0,0";psi_account_irqtime;;
7248;python3.9;PyDict_Size;object.h:628-628,dictobject.c:2740-2746;0.07;0.01;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyDict_Size;;
6650;python3.9;slot_nb_int;typeobject.c:6623-6623;0.07;0.01;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";slot_nb_int;;
6542;python3.9;PyEval_AcquireThread;pycore_pystate.h:82-82,ceval.c:382-391;0.07;0.01;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyEval_AcquireThread;;
6225;python3.9;slot_tp_call;pycore_pystate.h:55-55,object.h:422-422,typeobject.c:1503-1504,typeobject.c:6719-6719,typeobject.c:6730-6731,typeobject.c:6738-6738;0.07;0.01;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";slot_tp_call;;
5235;python3.9;PyThread_tss_set;thread_pthread.h:915-919;0.07;0.01;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PyThread_tss_set;;
4931;python3.9;PySequence_Size;abstract.c:19-19,abstract.c:1598-1613,abstract.c:1619-1619;0.07;0.01;;;;;;;"100,0,0,0,0,0,0,0,0,0,0";PySequence_Size;;
