ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 1246;python3.9;object.c:686-688,object.c:694-702,object.c:725-726,object.h:408-408,pycore_ceval.h:94-94;PyObject_RichCompare;Single;0.02;0.03;0.03;1.00;1.00;14.00;7.00;1;0.00;10.71;7.00;7.00;7.00;0.50;1.00
Loop 768;python3.9;obmalloc.c:572-572,obmalloc.c:686-686,obmalloc.c:1646-1647;PyObject_Malloc;Single;0.02;0.03;0.03;1.00;1.00;8.00;4.00;1;0.00;12.50;4.00;4.00;4.00;0.50;1.00
Loop 1943;python3.9;split.h:115-120,object.h:422-422;split;Outermost;0.02;0.02;0.03;1.00;1.00;12.97;1.49;23;0.00;12.22;20.80;20.80;20.80;1.60;14.00
Loop 1263;python3.9;unicodeobject.c:2745-2746;PyUnicode_FromFormatV;Innermost;0.02;0.02;0.03;1.00;1.00;8.00;1.25;1;0.00;12.50;1.25;1.25;1.25;0.16;1.00
Loop 1331;python3.9;object.c:775-779,dictobject.c:2140-2141,dictobject.c:2165-2165;dict_subscript;Innermost;0.02;0.02;0.03;1.00;1.00;12.80;1.92;1;0.00;11.11;4.80;4.80;4.80;0.38;2.50
Loop 945;python3.9;unicodeobject.c:15718-15719,unicodeobject.c:15726-15735,object.c:993-994,object.c:1025-1025,object.c:1361-1361,object.c:2205-2209,object.h:408-408,object.h:422-422;PyObject_SetAttr;Innermost;0.02;0.02;0.03;1.00;1.00;12.57;2.62;1;0.00;12.24;11.80;11.80;11.80;0.94;4.50
Loop 807;python3.9;dictobject.c:341-341,dictobject.c:344-344,dictobject.c:348-348,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:374-374,dictobject.c:377-379,dictobject.c:382-382,dictobject.c:385-385,dictobject.c:393-393,dictobject.c:1176-1181;dictresize;InBetween;0.02;0.02;0.03;1.00;1.00;26.33;2.03;42;0.00;10.16;16.25;16.25;16.25;0.62;8.00
Loop 1513;python3.9;unicodeobject.c:2356-2358,unicodeobject.c:14463-14464,unicodeobject.c:14467-14472,unicodeobject.c:14478-14485,unicodeobject.c:14495-14495;unicode_subscript;Outermost;0.02;0.02;0.03;1.00;1.00;14.77;2.10;1;0.00;8.33;12.60;12.60;12.60;0.85;6.00
Loop 1115;python3.9;eq.h:23-23,dictobject.c:849-850,dictobject.c:858-859,dictobject.c:867-867;lookdict_unicode;Outermost;0.02;0.02;0.03;1.00;1.00;6.86;4.00;1;0.00;11.06;6.00;6.00;6.00;0.88;1.50
Loop 1080;python3.9;methodobject.c:409-412,methodobject.c:443-449,pycore_ceval.h:83-83,pycore_ceval.h:94-94;cfunction_vectorcall_FASTCALL_KEYWORDS;Single;0.02;0.02;0.03;1.00;1.00;17.28;2.70;1;0.00;10.16;5.40;5.40;5.40;0.31;2.00
Loop 896;python3.9;gcmodule.c:313-314;collect;Single;0.01;0.02;0.02;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 784;python3.9;unicodeobject.c:5003-5003,unicodeobject.c:5006-5006,unicodeobject.c:5009-5013,unicodeobject.c:5016-5016,unicodeobject.c:5019-5021;unicode_decode_utf8;Outermost;0.01;0.02;0.02;1.00;1.00;23.88;1.39;9;0.00;11.41;6.25;6.25;6.25;0.26;4.50
Loop 1045;python3.9;ceval.c:4166-4168;_PyEval_EvalCode;Innermost;0.01;0.02;0.02;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
Loop 284;_tree.cpython-39-x86_64-linux-gnu.so;;__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_input(__pyx_obj_7sklearn_4tree_5_tree_TreeBuilder*, _object*, __Pyx_memviewslice, __Pyx_memviewslice);Innermost;0.01;0.02;0.02;4.67;1.00;8.05;4.67;1;45.11;17.51;289.80;62.00;289.80;36.00;62.00
Loop 2004;python3.9;unicodeobject.c:12474-12476;_PyUnicode_ScanIdentifier;Innermost;0.01;0.02;0.02;1.00;1.00;16.00;1.45;3;0.00;7.29;2.67;2.67;2.67;0.17;1.83
Loop 1494;python3.9;object.h:408-408,object.h:422-422,listobject.c:305-305,listobject.c:311-315,listobject.c:934-935,listobject.c:944-947;list_extend;Single;0.01;0.02;0.02;1.00;1.00;10.44;1.27;2;0.00;12.11;3.80;3.80;3.80;0.36;3.00
Loop 1442;python3.9;object.h:408-408,listobject.c:445-445,listobject.c:2864-2864;list_subscript;Innermost;0.01;0.02;0.02;1.00;1.00;8.00;1.67;1;0.00;12.50;2.50;2.50;2.50;0.31;1.50
Loop 1313;python3.9;descrobject.c:290-293,descrobject.c:461-467,pycore_ceval.h:83-83,pycore_ceval.h:94-94;method_vectorcall_O;Innermost;0.01;0.02;0.02;1.00;1.00;11.73;2.93;1;0.00;11.61;4.40;4.40;4.40;0.38;1.50
Loop 2898;python3.9;context.c:228-229,context.c:234-234,context.c:244-244;PyContextVar_Get;Outermost;0.01;0.02;0.02;1.00;1.00;13.09;1.80;1;0.00;9.38;1.80;1.80;1.80;0.14;1.00
Loop 1930;python3.9;rangeobject.c:55-55,rangeobject.c:63-66,rangeobject.c:133-133,rangeobject.c:224-227,objimpl.h:69-69,object.c:165-166,object.c:1824-1824,obmalloc.c:99-99,obmalloc.c:572-572,obmalloc.c:683-685,obmalloc.c:1434-1439,obmalloc.c:1445-1447,obmalloc.c:1604-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1647,object.h:133-138,object.h:408-408,object.h:422-422,object.h:430-430;range_from_array;Single;0.01;0.02;0.02;2.96;1.00;12.38;2.96;1;3.77;11.47;29.60;10.00;29.60;2.39;10.00
Loop 1632;python3.9;abstract.c:1429-1429,abstract.c:1457-1457,abstract.c:1507-1507,object.h:422-422,object.h:430-430;PyNumber_Long;Single;0.01;0.02;0.02;1.00;1.00;8.00;4.20;1;0.00;12.50;4.20;4.20;4.20;0.53;1.00
Loop 1564;python3.9;pycore_pystate.h:55-55,objimpl.h:69-69,object.c:1824-1824,object.c:2205-2205,object.c:2209-2210,obmalloc.c:572-572,obmalloc.c:1646-1647,string3.h:52-52,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-409,object.h:422-422,object.h:430-430,longobject.c:49-49,longobject.c:57-59,longobject.c:116-116,longobject.c:119-122,longobject.c:4704-4705,longobject.c:4799-4802,longobject.c:4805-4806,longobject.c:4809-4810,longobject.c:4817-4822,longobject.c:4825-4828,longobject.c:4834-4834;long_bitwise;Outermost;0.01;0.02;0.02;2.27;1.00;15.59;2.27;1;21.35;13.57;61.40;27.00;61.40;3.94;27.00
Loop 1510;python3.9;object.h:422-422,object.h:430-430,longobject.c:547-547,longobject.c:568-568,longobject.c:582-589;PyLong_AsLong;Single;0.01;0.02;0.02;1.00;1.00;40.42;4.00;1;0.00;8.20;6.00;6.00;6.00;0.15;1.50
Loop 1250;python3.9;unicodeobject.c:11305-11309,unicodeobject.c:11499-11503,unicodeobject.c:11511-11511,unicodeobject.c:11518-11518,boolobject.c:32-32,object.h:408-408;PyUnicode_RichCompare;Single;0.01;0.02;0.02;1.00;1.00;13.67;5.30;1;0.00;9.17;10.60;10.60;10.60;0.78;2.00
Loop 1145;python3.9;unicodeobject.c:2306-2316,object.c:850-850,object.c:881-883,object.c:889-890,object.c:1280-1280;_PyObject_GetAttrId;Single;0.01;0.02;0.02;1.00;1.00;18.71;2.53;1;0.00;10.55;7.60;7.60;7.60;0.41;3.00
Loop 849;python3.9;pycore_pystate.h:55-55,tupleobject.c:88-88,tupleobject.c:92-93,tupleobject.c:424-428,tupleobject.c:432-432,object.h:408-408,pycore_object.h:39-39,pycore_object.h:46-51;_PyTuple_FromArray;Outermost;0.01;0.02;0.02;4.24;1.00;7.07;4.24;1;6.25;13.28;10.60;2.50;10.60;1.50;2.50
Loop 902;python3.9;tupleobject.c:179-179,tupleobject.c:182-184,tupleobject.c:188-189,gcmodule.c:626-629,gcmodule.c:1209-1209,object.h:128-128,typeobject.c:3764-3764,pycore_object.h:74-79,pycore_object.h:112-114;collect;Outermost;0.01;0.01;0.01;1.00;1.00;20.10;1.77;3370;0.00;11.04;25.60;25.60;25.60;1.27;14.50
Loop 929;python3.9;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,typeobject.c:3764-3764,pycore_object.h:112-114,dictobject.c:3142-3148;dict_traverse;Single;0.01;0.01;0.01;1.00;1.00;22.91;1.70;10;0.00;11.41;6.80;6.80;6.80;0.30;4.00
Loop 1587;python3.9;unicodeobject.c:11523-11523,pycore_pystate.h:55-55,object.c:663-668,object.c:672-674,object.c:678-680,object.c:725-725,object.c:746-748,setobject.c:127-138,setobject.c:142-142,setobject.c:146-151,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:628-628,longobject.c:3060-3066,longobject.c:3079-3079,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,typeobject.c:1415-1415,typeobject.c:1425-1426,typeobject.c:1431-1432;set_update_internal;InBetween;0.01;0.01;0.01;1.00;1.00;9.52;2.49;3878;0.00;11.54;52.20;52.20;52.20;5.48;21.00
Loop 2882;python3.9;pycore_pystate.h:37-37,pycore_pystate.h:55-55,thread_pthread.h:329-332,signalmodule.c:1681-1681,signalmodule.c:1693-1693,longobject.c:2830-2830,longobject.c:2843-2852,longobject.c:2858-2859,longobject.c:2863-2863,longobject.c:2871-2873,longobject.c:2878-2878,longobject.c:2883-2883;x_divrem;Outermost;0.01;0.01;0.01;1.00;1.00;2.45;3.77;90;0.00;10.42;24.50;24.50;24.50;10.00;6.50
Loop 1395;python3.9;object.c:2205-2210,object.h:422-422,typeobject.c:1154-1159;subtype_dealloc;Innermost;0.01;0.01;0.01;1.00;1.00;12.13;2.16;5;0.00;10.16;5.40;5.40;5.40;0.45;2.50
Loop 2067;python3.9;unicodeobject.c:3413-3430,unicodeobject.c:3436-3436,unicodeobject.c:3447-3447;PyUnicode_Decode;Single;0.01;0.01;0.01;1.00;1.00;35.02;1.61;7;0.00;7.99;7.25;7.25;7.25;0.21;4.50
Loop 1118;python3.9;eq.h:23-24;lookdict_unicode;Innermost;0.01;0.01;0.01;1.00;1.00;13.71;1.50;1;0.00;7.50;3.00;3.00;3.00;0.22;2.00
Loop 2121;python3.9;unicodeobject.c:1702-1702,unicodeobject.c:14111-14111,unicodeobject.c:14118-14118,unicodeobject.c:14121-14125,unicodeobject.c:14128-14130,unicodeobject.c:14135-14135,unicodeobject.c:15345-15349,unicodeobject.c:15420-15421,unicodeobject.c:15424-15428,unicodeobject.c:15431-15432,unicodeobject.c:15435-15435,unicodeobject.c:15440-15440;PyUnicode_Format;InBetween;0.01;0.01;0.01;1.00;1.00;14.46;2.00;1;0.00;8.96;27.00;27.00;27.00;1.87;13.50
Loop 1144;python3.9;tupleobject.c:236-237,object.h:422-422,object.h:496-496;tupledealloc;Innermost;0.01;0.01;0.01;1.00;1.00;8.00;1.07;1;0.00;12.50;1.60;1.60;1.60;0.20;1.50
Loop 1104;python3.9;getargs.c:282-287,getargs.c:293-293,getargs.c:296-297,getargs.c:311-311;vgetargs1_impl;Outermost;0.01;0.01;0.01;1.00;NA;NA;1.00;1;NA;NA;1.00;1.00;NA;NA;1.00
Loop 876;python3.9;object.h:430-430,dictobject.c:790-790,dictobject.c:805-812,dictobject.c:825-825;lookdict;Innermost;0.01;0.01;0.01;1.00;1.00;10.40;3.25;1;0.00;11.98;6.50;6.50;6.50;0.63;2.00
Loop 3106;python3.9;tupleobject.c:496-499,object.h:408-408;tupleconcat;Single;0.01;0.01;0.01;1.00;1.00;6.40;1.60;1;0.00;12.50;1.60;1.60;1.60;0.25;1.00
Loop 1464;python3.9;descrobject.c:77-77,descrobject.c:270-270,descrobject.c:290-290,descrobject.c:293-293,descrobject.c:406-406,descrobject.c:409-409,descrobject.c:412-412,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,typeobject.c:1432-1432;method_vectorcall_FASTCALL_KEYWORDS;InBetween;0.01;0.01;0.01;1.00;1.00;12.38;3.20;1;0.00;10.66;9.60;9.60;9.60;0.78;3.00
Loop 1256;python3.9;unicodeobject.c:676-678,unicodeobject.c:686-703,unicodeobject.c:3070-3070,unicodeobject.c:3101-3101,unicodeobject.c:3111-3111,unicodeobject.c:14158-14158,unicodeobject.c:14195-14196,unicodeobject.c:14218-14234,object.h:408-409,object.h:422-422,object.h:430-430;PyUnicode_FromFormatV;Innermost;0.01;0.01;0.01;1.00;1.00;18.83;1.96;1;0.00;11.17;20.60;20.60;20.60;1.09;10.50
Loop 1050;python3.9;ceval.c:1259-1259,ceval.c:1625-1626,ceval.c:2242-2242,ceval.c:3734-3734,ceval.c:3743-3745,ceval.c:3820-3820,ceval.c:3826-3826,ceval.c:3846-3847,ceval.c:3850-3850,object.c:2205-2205,object.c:2209-2209,call.c:38-39,pycore_ceval.h:94-94;_PyEval_EvalFrameDefault;Outermost;0.01;0.01;0.01;1.00;1.00;15.60;2.65;1;0.00;9.84;10.60;10.60;10.60;0.68;4.00
Loop 2808;python3.9;pycore_pystate.h:55-55,objimpl.h:69-69,object.c:1824-1824,object.c:2205-2205,object.c:2209-2209,obmalloc.c:99-99,obmalloc.c:572-572,obmalloc.c:680-680,obmalloc.c:685-685,obmalloc.c:1434-1438,obmalloc.c:1445-1447,obmalloc.c:1604-1604,obmalloc.c:1608-1609,obmalloc.c:1612-1612,obmalloc.c:1617-1618,obmalloc.c:1621-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1641,obmalloc.c:1646-1647,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-409,object.h:422-422,object.h:430-430,longobject.c:49-49,longobject.c:57-59,longobject.c:116-116,longobject.c:119-122,longobject.c:259-259,longobject.c:264-266,longobject.c:4526-4526,longobject.c:4546-4546,longobject.c:4559-4566,longobject.c:4573-4575,longobject.c:4580-4582,longobject.c:4599-4599,longobject.c:4607-4607;long_rshift;Outermost;0.01;0.01;0.01;1.00;1.00;20.10;2.93;1;0.00;9.77;55.60;55.60;55.60;2.77;19.00
Loop 2426;python3.9;pycore_pystate.h:55-55,tupleobject.c:88-88,tupleobject.c:92-93,tupleobject.c:424-428,descrobject.c:506-510,descrobject.c:513-513,descrobject.c:519-519,descrobject.c:537-537,descrobject.c:559-559,object.c:2205-2205,object.c:2209-2209,object.h:408-408,object.h:422-422,object.h:628-628,pycore_object.h:39-39,pycore_object.h:46-51;wrapperdescr_call;Outermost;0.01;0.01;0.01;3.84;1.00;13.50;3.84;1;3.33;11.98;19.20;5.00;19.20;1.42;5.00
Loop 2119;python3.9;unicodeobject.c:1702-1702,unicodeobject.c:14079-14079,unicodeobject.c:14082-14092,unicodeobject.c:14095-14095,unicodeobject.c:14100-14100,unicodeobject.c:14531-14536,unicodeobject.c:14747-14747,unicodeobject.c:14753-14757,unicodeobject.c:14763-14764,unicodeobject.c:14773-14773,unicodeobject.c:14777-14780,unicodeobject.c:14783-14783,unicodeobject.c:14812-14816,unicodeobject.c:14820-14820,unicodeobject.c:14825-14825,unicodeobject.c:14831-14831,unicodeobject.c:14844-14846,unicodeobject.c:14854-14856,unicodeobject.c:14863-14865,unicodeobject.c:14868-14871,unicodeobject.c:14874-14874,unicodeobject.c:14878-14880,unicodeobject.c:14898-14898,unicodeobject.c:14903-14906,unicodeobject.c:14910-14911,unicodeobject.c:14928-14938,unicodeobject.c:14992-14992,unicodeobject.c:15001-15011,unicodeobject.c:15016-15023,unicodeobject.c:15026-15026,unicodeobject.c:15034-15034,unicodeobject.c:15045-15045,unicodeobject.c:15084-15085,unicodeobject.c:15088-15088,unicodeobject.c:15092-15092,unicodeobject.c:15096-15098,unicodeobject.c:15103-15104,unicodeobject.c:15108-15113,unicodeobject.c:15127-15127,unicodeobject.c:15137-15138,unicodeobject.c:15141-15141,unicodeobject.c:15146-15147,unicodeobject.c:15154-15158,unicodeobject.c:15175-15175,unicodeobject.c:15197-15201,unicodeobject.c:15204-15207,unicodeobject.c:15217-15218,unicodeobject.c:15223-15237,unicodeobject.c:15241-15242,unicodeobject.c:15245-15248,unicodeobject.c:15252-15253,unicodeobject.c:15256-15258,unicodeobject.c:15262-15264,unicodeobject.c:15268-15273,unicodeobject.c:15280-15280,unicodeobject.c:15296-15300,unicodeobject.c:15305-15310,unicodeobject.c:15321-15324,unicodeobject.c:15328-15331,unicodeobject.c:15353-15357,unicodeobject.c:15360-15360,unicodeobject.c:15364-15364,unicodeobject.c:15370-15370,unicodeobject.c:15374-15374,unicodeobject.c:15389-15389,unicodeobject.c:15458-15459,unicodeobject.c:15463-15463,tupleobject.c:142-142,tupleobject.c:146-147,tupleobject.c:150-150,abstract.c:822-824,object.h:128-128,object.h:408-408,object.h:422-422,object.h:430-430,object.h:628-628,bytesobject.c:385-387;PyUnicode_Format;InBetween;0.01;0.01;0.01;1.00;1.00;24.06;1.98;1;0.00;9.18;162.60;162.60;162.60;6.76;82.00
Loop 1959;python3.9;pycore_pystate.h:55-55,objimpl.h:69-69,object.c:1824-1824,object.c:2205-2205,object.c:2209-2209,obmalloc.c:99-99,obmalloc.c:572-572,obmalloc.c:683-685,obmalloc.c:1434-1438,obmalloc.c:1445-1447,obmalloc.c:1604-1604,obmalloc.c:1608-1609,obmalloc.c:1612-1612,obmalloc.c:1617-1618,obmalloc.c:1621-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1641,obmalloc.c:1646-1647,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-409,object.h:422-422,object.h:430-430,longobject.c:49-49,longobject.c:57-59,longobject.c:116-116,longobject.c:119-122,longobject.c:259-259,longobject.c:264-266,longobject.c:311-311,longobject.c:659-659,longobject.c:4526-4526,longobject.c:4531-4533,longobject.c:4536-4538,longobject.c:4541-4541,longobject.c:4545-4545,longobject.c:4633-4635,longobject.c:4640-4653,longobject.c:4670-4670,longobject.c:4678-4678;long_lshift;Outermost;0.01;0.01;0.01;1.00;1.00;22.12;2.74;1;0.00;9.87;68.60;68.60;68.60;3.10;25.00
Loop 1953;python3.9;rangeobject.c:170-174,obmalloc.c:127-127,obmalloc.c:595-595,obmalloc.c:709-709,obmalloc.c:1420-1422,obmalloc.c:1679-1686,obmalloc.c:1692-1708,obmalloc.c:1715-1719,obmalloc.c:1738-1738,obmalloc.c:1749-1749,obmalloc.c:1756-1756,obmalloc.c:1762-1762,obmalloc.c:1768-1780,obmalloc.c:1786-1793,obmalloc.c:1807-1811,obmalloc.c:1825-1842,obmalloc.c:1865-1865,obmalloc.c:1878-1883,obmalloc.c:1897-1897,obmalloc.c:1923-1923,object.h:422-422,object.h:430-430;range_dealloc;Single;0.01;0.01;0.01;2.94;1.00;7.96;2.94;1;3.39;12.18;36.80;12.50;36.80;4.63;12.50
Loop 1639;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,object.c:908-908,object.c:916-927,object.c:942-948,object.c:956-958,abstract.c:2463-2470,abstract.c:2488-2488,object.h:422-422,object.h:628-628;object_isinstance;Single;0.01;0.01;0.01;1.00;1.00;21.70;2.97;1;0.00;10.81;17.80;17.80;17.80;0.82;6.00
Loop 1502;python3.9;unicodeobject.c:9921-9921,unicodeobject.c:9927-9947,unicodeobject.c:9964-9964;tailmatch.lto_priv.0;Single;0.01;0.01;0.01;1.00;1.00;16.00;1.88;1;0.00;6.25;18.80;18.80;18.80;1.18;10.00
Loop 1318;python3.9;pycore_pystate.h:55-55,tupleobject.c:405-406,tupleobject.c:409-409,tupleobject.c:770-773,tupleobject.c:821-821,abstract.c:1341-1345,abstract.c:1376-1376,abstract.c:1380-1380,abstract.c:1383-1383,abstract.c:1387-1387,abstract.c:1392-1392,abstract.c:1399-1399,abstract.c:1406-1406,pycore_pyerrors.h:14-14,object.h:128-128,object.h:408-408,object.h:422-422,object.h:628-628,longobject.c:623-624,longobject.c:629-635,longobject.c:638-639,longobject.c:643-643,longobject.c:650-653,longobject.c:659-659;tuplesubscript;Outermost;0.01;0.01;0.01;1.00;1.00;20.57;2.00;1;0.00;11.51;32.00;32.00;32.00;1.56;16.00
Loop 1251;python3.9;errors.c:55-61,errors.c:168-168,errors.c:1104-1104,object.c:2205-2209,object.h:422-422,object.h:430-430,object.h:496-496;PyErr_Format;Innermost;0.01;0.01;0.01;2.22;1.00;7.79;2.22;1;6.67;13.33;10.00;4.50;10.00;1.28;4.50
Loop 1231;python3.9;object.h:408-408,object.h:422-422,object.h:430-430,dictobject.c:3814-3814,dictobject.c:3836-3842,dictobject.c:3846-3846,dictobject.c:3851-3852,dictobject.c:3855-3859,dictobject.c:3866-3867,dictobject.c:3871-3874,dictobject.c:3880-3880,dictobject.c:3883-3883;dictiter_iternextitem;InBetween;0.01;0.01;0.01;2.50;1.00;7.27;2.73;1;26.09;14.95;15.00;6.00;15.00;2.06;5.50
Loop 1218;python3.9;obmalloc.c:1786-1793,typeobject.c:3952-3952;object_dealloc;Single;0.01;0.01;0.01;1.00;1.00;5.49;2.40;1;0.00;11.61;3.60;3.60;3.60;0.66;1.50
Loop 1184;python3.9;descrobject.c:194-194,object.h:408-408;getset_get;Single;0.01;0.01;0.01;1.00;1.00;8.00;2.75;1;0.00;12.50;2.20;2.20;2.20;0.28;0.80
Loop 1142;python3.9;pycore_pystate.h:55-55,tupleobject.c:254-255,gcmodule.c:256-263,gcmodule.c:2355-2359,object.c:2139-2141;tupledealloc;Single;0.01;0.01;0.01;1.00;1.00;13.16;2.47;1;0.00;9.72;7.40;7.40;7.40;0.56;3.00
Loop 1083;python3.9;pycore_pyerrors.h:14-14,call.c:38-39,call.c:57-57,call.c:127-127,call.c:134-134,call.c:370-374,call.c:380-388,call.c:396-396;_PyObject_FastCallDictTstate;Single;0.01;0.01;0.01;1.00;1.00;12.70;4.32;1;0.00;12.17;10.80;10.80;10.80;0.85;2.50
Loop 1082;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,object.c:906-908,object.c:916-927,object.c:942-948,object.c:956-961;_PyObject_LookupAttrId;Single;0.01;0.01;0.01;1.00;1.00;19.49;2.98;1;0.00;10.74;13.40;13.40;13.40;0.69;4.50
Loop 940;python3.9;pycore_pystate.h:55-55,gcmodule.c:1394-1396,gcmodule.c:1401-1401,gcmodule.c:1442-1442,gcmodule.c:2278-2280,gcmodule.c:2283-2287,exceptions.c:42-47,exceptions.c:52-53,exceptions.c:59-59,objimpl.h:69-69,objimpl.h:84-84,object.c:1824-1824,string3.h:85-85,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-408,typeobject.c:1061-1061,typeobject.c:1068-1068,pycore_object.h:39-39,pycore_object.h:46-51;BaseException_new;Outermost;0.01;0.01;0.01;2.71;1.00;9.43;2.71;1;10.00;10.73;17.60;6.50;17.60;1.87;6.50
Loop 803;python3.9;dictobject.c:1035-1035;find_empty_slot;Single;0.01;0.01;0.01;1.00;NA;NA;1.00;1;NA;NA;1.00;1.00;NA;NA;1.00
Loop 204;_tree.cpython-39-x86_64-linux-gnu.so;;__pyx_memoryview_fromslice(__Pyx_memviewslice, int, _object* (*)(char*), int (*)(char*, _object*), int);Single;0.01;0.01;0.01;1.00;1.00;12.21;2.46;156;0.00;11.61;23.40;23.40;23.40;1.92;9.50
Loop 900;python3.9;gcmodule.c:641-644;collect;Innermost;0;0;0.01;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 897;python3.9;gcmodule.c:641-644,object.h:128-128,typeobject.c:3764-3764,pycore_object.h:74-80,pycore_object.h:112-114,dictobject.c:989-989,dictobject.c:993-999,dictobject.c:1006-1006;collect;Outermost;0;0;0.01;1.00;1.00;20.86;1.68;79255;0.00;11.61;42.00;42.00;42.00;2.01;25.00
Loop 1062;python3.9;ceval.c:2759-2761;_PyEval_EvalFrameDefault;Single;0;0;0.01;1.00;1.00;8.00;1.60;1;0.00;12.50;1.60;1.60;1.60;0.20;1.00
Loop 783;python3.9;unicodeobject.c:4985-4991;unicode_decode_utf8;Single;0;0;0.01;1.00;1.00;8.00;1.40;1;0.00;12.50;1.40;1.40;1.40;0.17;1.00
Loop 1588;python3.9;setobject.c:124-125,setobject.c:152-153;set_update_internal;Innermost;0;0;0.01;1.00;1.00;8.00;3.75;1;0.00;12.50;3.75;3.75;3.75;0.47;1.00
Loop 1367;python3.9;getargs.c:1726-1726,getargs.c:1733-1735,getargs.c:1741-1741,getargs.c:1749-1751,getargs.c:1783-1783;vgetargskeywords;Outermost;0;0;0.01;1.00;1.00;15.45;1.70;1;0.00;8.04;4.25;4.25;4.25;0.28;2.50
Loop 1915;python3.9;unicodeobject.c:13077-13082,unicodeobject.c:13088-13095,unicodeobject.c:13101-13106;unicode_repr;Single;0;0;0.01;1.00;1.00;14.25;2.32;11;0.00;9.80;16.25;16.25;16.25;1.14;7.00
Loop 1043;python3.9;ceval.c:4240-4244,object.h:408-408;_PyEval_EvalCode;Single;0;0;0.01;1.00;1.00;8.00;1.50;2;0.00;12.50;1.50;1.50;1.50;0.19;1.00
Loop 2686;python3.9;split.h:360-361;PyUnicode_Splitlines;Innermost;0;0;0.01;1.00;1.00;8.00;1.17;1;0.00;12.50;1.75;1.75;1.75;0.22;1.50
Loop 2125;python3.9;unicodeobject.c:676-678,unicodeobject.c:686-703,unicodeobject.c:14218-14234,unicodeobject.c:15446-15446,unicodeobject.c:15452-15453,unicodeobject.c:15463-15463,object.h:408-409,object.h:422-422,object.h:430-430;PyUnicode_Format;Innermost;0;0;0.01;1.00;1.00;18.60;1.76;1;0.00;10.88;20.20;20.20;20.20;1.09;11.50
Loop 1429;python3.9;typeobject.c:1089-1090,typeobject.c:1114-1115,typeobject.c:1120-1120;subtype_traverse;Outermost;0;0;0.01;1.00;1.00;12.80;2.13;5;0.00;11.25;3.20;3.20;3.20;0.25;1.50
Loop 2685;python3.9;split.h:356-356,split.h:360-360,split.h:365-367,split.h:370-370,split.h:374-374,split.h:381-381,object.h:143-143,object.h:408-408,object.h:422-422,object.h:430-430,object.h:628-628,listobject.c:40-40,listobject.c:46-46,listobject.c:62-62,listobject.c:66-73,listobject.c:79-79,listobject.c:83-85,listobject.c:302-302,listobject.c:305-305,listobject.c:311-311,listobject.c:315-315,listobject.c:322-322;PyUnicode_Splitlines;Outermost;0;0;0.01;1.00;1.00;12.01;2.12;135;0.00;11.21;21.20;21.20;21.20;1.77;10.00
Loop 802;python3.9;dictobject.c:348-348;lookdict_unicode_nodummy;Innermost;0;0;0.01;1.00;NA;NA;1.00;1;NA;NA;0.50;0.50;NA;NA;0.50
Loop 1363;python3.9;unicodeobject.c:2294-2294,unicodeobject.c:5182-5182,pycore_pystate.h:55-55,getargs.c:591-591,getargs.c:1742-1742,getargs.c:1749-1751,getargs.c:1756-1756,getargs.c:1762-1762,getargs.c:1783-1783,getargs.c:1793-1798,getargs.c:1806-1806,getargs.c:1816-1816,getargs.c:1847-1847,object.c:2205-2205,object.c:2209-2209,object.h:422-422,dictobject.c:1499-1499,dictobject.c:1502-1502;vgetargskeywords;InBetween;0;0;0.01;1.00;1.00;12.97;1.91;1;0.00;10.68;13.40;13.40;13.40;1.03;7.00
Loop 3625;python3.9;unicodeobject.c:11868-11886;unicode_expandtabs;Innermost;0;0;0.01;1.00;1.00;3.37;2.17;4;0.00;10.34;4.88;4.88;4.88;1.45;2.25
